"filename", "language", "Vue", "HTML", "SCSS", "JSON with Comments", "TypeScript", "Markdown", "JavaScript", "CSS", "JSON", "YAML", "comment", "blank", "total"
"/Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/presets/nsight_style_presets/sidebar/index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 108, 0, 0, 0, 23, 19, 150
"/Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/presets/nsight_style_presets/skeleton/index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 2, 3, 17
"/Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/presets/nsight_style_presets/slider/index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 88, 0, 0, 0, 25, 25, 138
"/Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/presets/nsight_style_presets/speeddial/index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 177, 0, 0, 0, 66, 40, 283
"/Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/presets/nsight_style_presets/splitbutton/index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 308, 0, 0, 0, 126, 69, 503
"/Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/presets/nsight_style_presets/splitter/index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 11, 10, 62
"/Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/presets/nsight_style_presets/steps/index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 77, 0, 0, 0, 19, 16, 112
"/Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/presets/nsight_style_presets/tabmenu/index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 11, 12, 74
"/Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/presets/nsight_style_presets/tabview/index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 107, 0, 0, 0, 28, 22, 157
"/Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/presets/nsight_style_presets/tag/index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 5, 5, 37
"/Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/presets/nsight_style_presets/terminal/index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 13, 8, 61
"/Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/presets/nsight_style_presets/textarea/index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 7, 7, 37
"/Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/presets/nsight_style_presets/tieredmenu/index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 85, 0, 0, 0, 21, 15, 121
"/Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/presets/nsight_style_presets/timeline/index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 76, 0, 0, 0, 3, 3, 82
"/Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/presets/nsight_style_presets/toast/index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 74, 0, 0, 0, 13, 10, 97
"/Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/presets/nsight_style_presets/togglebutton/index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 15, 15, 92
"/Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/presets/nsight_style_presets/toolbar/index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 4, 4, 29
